,mutual_information,random_forest_importance,mi_rank,rf_rank,combined_rank
577,0.02660374612602112,0.005400807948882208,5.0,21.0,26.0
130,0.020477558065256085,0.011487019711807137,24.0,5.0,29.0
91,0.023237613919036892,0.0041854830345505484,13.0,34.0,47.0
510,0.016051022513804636,0.00758619808530063,45.0,11.0,56.0
309,0.021669877088041467,0.003813790577022543,18.0,40.0,58.0
103,0.014045144899877515,0.023427734562501128,61.0,1.0,62.0
331,0.018579687219495877,0.004310199345617502,32.0,33.0,65.0
125,0.016242704914492645,0.004969240896209729,42.0,24.0,66.0
477,0.01457575868116101,0.0068585513018539525,58.0,13.0,71.0
573,0.018638560345531463,0.0036606938934640077,31.0,42.0,73.0
65,0.01486737485477252,0.004881614867626358,56.0,25.0,81.0
126,0.017076917029875904,0.003613024059671756,38.0,45.0,83.0
56,0.016756842832505336,0.003606342060518137,39.0,46.0,85.0
269,0.021978069586659377,0.002857839803701785,15.0,76.0,91.0
519,0.01178979235517108,0.008460166337441894,86.0,8.0,94.0
288,0.02126649985116358,0.002824881292974072,20.0,80.0,100.0
132,0.01713726774088853,0.0029850322467464513,37.0,68.0,105.0
307,0.014811990684423515,0.0035080572744895806,57.0,48.0,105.0
122,0.014176585031370204,0.0035833502229209624,60.0,47.0,107.0
267,0.01542361555407945,0.0032135905178626587,50.0,57.0,107.0
33,0.009503777606156838,0.012694857514300576,105.0,3.0,108.0
489,0.012379226620952366,0.004098694689564681,78.0,36.0,114.0
137,0.013130641426069012,0.003490750041057668,65.0,50.0,115.0
146,0.010288608629833274,0.005523010531033526,97.0,19.0,116.0
416,0.01866857017518031,0.0026987081933880185,29.0,89.0,118.0
131,0.020473348006182723,0.0026558505573440363,25.0,94.0,119.0
247,0.009173267159766185,0.0076786222256291815,110.0,10.0,120.0
138,0.026256331961821866,0.002418011240759249,6.0,115.0,121.0
270,0.015129485291496048,0.002840862354609296,52.0,78.0,130.0
121,0.012012972599110494,0.0031728174047710067,81.0,60.0,141.0
70,0.021475780211552165,0.00233833736739766,19.0,124.0,143.0
28,0.009447288390405095,0.0038559538238473376,107.0,38.0,145.0
64,0.007011021858684741,0.01044207022511411,141.0,6.0,147.0
319,0.007542675726246895,0.0060549653816966715,134.0,15.0,149.0
195,0.011219987791910802,0.0030949970051784154,92.0,63.0,155.0
